"Code","Year","Period","Date","Captures","ll","Location","Longitude","Latitude"
"S04283",2019,"Night","2019-07-29",45,-46.5576019146922,"Sept-Iles",-66.255667,50.219833
"S06207",2021,"Afternoon","2021-07-17",7,-46.134124212804,"Arisaig",-62.16,45.75
"S06207",2021,"Evening","2021-07-17",79,-46.134124212804,"Arisaig",-62.16,45.75
"S06207",2021,"Morning","2021-07-17",7,-46.134124212804,"Arisaig",-62.16,45.75
"S06207",2021,"Night","2021-07-17",28,-46.134124212804,"Arisaig",-62.16,45.75
"S04610",2021,"Afternoon","2021-08-09",75,-43.9612178668864,"Zinc Mine Rd",-57.556,50.272
"S04610",2021,"Evening","2021-08-09",NA,-43.9612178668864,"Zinc Mine Rd",-57.556,50.272
"S04610",2021,"Morning","2021-08-09",6,-43.9612178668864,"Zinc Mine Rd",-57.556,50.272
"S04610",2021,"Night","2021-08-09",NA,-43.9612178668864,"Zinc Mine Rd",-57.556,50.272
"S04254",2018,"Afternoon","2018-07-16",0,-43.9580174355698,"Forestville",-69.077833,48.738
"S04254",2018,"Evening","2018-07-16",138,-43.9580174355698,"Forestville",-69.077833,48.738
"S04254",2018,"Morning","2018-07-16",4,-43.9580174355698,"Forestville",-69.077833,48.738
"S04254",2018,"Night","2018-07-16",9,-43.9580174355698,"Forestville",-69.077833,48.738
"S04272",2018,"Afternoon","2018-07-20",0,-42.9139567790795,"St Modeste",-69.391333,47.836833
"S04272",2018,"Evening","2018-07-20",0,-42.9139567790795,"St Modeste",-69.391333,47.836833
"S04272",2018,"Morning","2018-07-20",NA,-42.9139567790795,"St Modeste",-69.391333,47.836833
"S04272",2018,"Night","2018-07-20",NA,-42.9139567790795,"St Modeste",-69.391333,47.836833
"S04274",2019,"Afternoon","2019-07-26",4,-42.7866963429397,"Jacquet River",-66.072833,47.844167
"S04274",2019,"Evening","2019-07-26",134,-42.7866963429397,"Jacquet River",-66.072833,47.844167
"S04274",2019,"Morning","2019-07-26",3,-42.7866963429397,"Jacquet River",-66.072833,47.844167
"S04274",2019,"Night","2019-07-26",5,-42.7866963429397,"Jacquet River",-66.072833,47.844167
"S04284",2021,"Afternoon","2021-07-10",1,-38.6920979279733,"Baldwin",-66.1055,48.562
"S04284",2021,"Evening","2021-07-10",92,-38.6920979279733,"Baldwin",-66.1055,48.562
"S04284",2021,"Morning","2021-07-10",18,-38.6920979279733,"Baldwin",-66.1055,48.562
"S04284",2021,"Night","2021-07-10",7,-38.6920979279733,"Baldwin",-66.1055,48.562
"S04263",2019,"Afternoon","2019-07-17",0,-37.9543492740495,"South Tetagouche",-65.838667,47.603
"S04263",2019,"Evening","2019-07-17",NA,-37.9543492740495,"South Tetagouche",-65.838667,47.603
"S04263",2019,"Morning","2019-07-17",0,-37.9543492740495,"South Tetagouche",-65.838667,47.603
"S04263",2019,"Night","2019-07-17",65,-37.9543492740495,"South Tetagouche",-65.838667,47.603
"S04284",2020,"Afternoon","2020-07-09",0,-37.8924522109046,"Baldwin",-66.1055,48.562
"S04284",2020,"Evening","2020-07-09",68,-37.8924522109046,"Baldwin",-66.1055,48.562
"S04284",2020,"Morning","2020-07-09",9,-37.8924522109046,"Baldwin",-66.1055,48.562
"S04284",2020,"Night","2020-07-09",4,-37.8924522109046,"Baldwin",-66.1055,48.562
"S04284",2019,"Afternoon","2019-07-23",19,-37.1189832574285,"Baldwin",-66.1055,48.562
"S04284",2019,"Evening","2019-07-23",203,-37.1189832574285,"Baldwin",-66.1055,48.562
"S04284",2019,"Morning","2019-07-23",0,-37.1189832574285,"Baldwin",-66.1055,48.562
"S04284",2019,"Night","2019-07-23",0,-37.1189832574285,"Baldwin",-66.1055,48.562
"S04540",2022,"Afternoon","2022-07-20",37,-36.9423785201867,"Cheesemans Park",-59.2835,47.734833
"S04540",2022,"Evening","2022-07-20",101,-36.9423785201867,"Cheesemans Park",-59.2835,47.734833
"S04540",2022,"Morning","2022-07-20",NA,-36.9423785201867,"Cheesemans Park",-59.2835,47.734833
"S04540",2022,"Night","2022-07-20",NA,-36.9423785201867,"Cheesemans Park",-59.2835,47.734833
"S04540",2021,"Afternoon","2021-07-14",55,-34.3240785165198,"Cheesemans Park",-59.2836,47.7346
"S04540",2021,"Evening","2021-07-14",75,-34.3240785165198,"Cheesemans Park",-59.2836,47.7346
"S04540",2021,"Morning","2021-07-14",2,-34.3240785165198,"Cheesemans Park",-59.2836,47.7346
"S04540",2021,"Night","2021-07-14",0,-34.3240785165198,"Cheesemans Park",-59.2836,47.7346
"S04267",2020,"Afternoon","2020-07-15",34,-33.7053669547176,"Arseneault",-65.3035,48.374167
"S04267",2020,"Evening","2020-07-15",0,-33.7053669547176,"Arseneault",-65.3035,48.374167
"S04267",2020,"Morning","2020-07-15",NA,-33.7053669547176,"Arseneault",-65.3035,48.374167
"S04267",2020,"Night","2020-07-15",0,-33.7053669547176,"Arseneault",-65.3035,48.374167
"S06221",2021,"Afternoon","2021-07-16",0,-28.0857078535748,"Inverness",-61.294,46.196
"S06221",2021,"Evening","2021-07-16",0,-28.0857078535748,"Inverness",-61.294,46.196
