Name,Code,Longitude,Latitude,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,Location,Total,N>0
Port Saunders,S04620,-56.5351670,51.0018330,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,6,9,0,0,3,1,19,16,2,0,0,0,3,7,21,17,20,2,60,4,5,49,9,11,39,37,45,179,38,1,0,0,1,2,1,1,0,0,,,,,,,716,30
Robinsonville,S04258,-66.9343330,47.8770000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,4,5,1,6,6,8,3,0,0,1,6,25,25,14,11,1,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,129,19
Saint Leonard,S04286,-67.8798330,47.1766670,0,0,0,0,0,0,0,3,1,8,2,1,3,2,2,2,5,2,2,3,4,2,5,8,2,0,1,1,0,1,0,0,1,3,0,3,0,1,0,1,1,1,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,,72,29
Saint Quentin,S04256,-67.3305000,47.5141670,0,0,0,1,0,0,2,-2,1,5,3,6,23,6,12,16,3,14,13,17,23,46,6,26,9,3,5,0,4,4,4,3,3,0,0,2,2,0,2,1,0,1,4,0,2,0,1,0,0,0,0,0,0,1,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,,272,35
Sept-Iles,S04283,-66.2563330,50.2200000,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,4
South Tetagouche,S04269,-65.8388330,47.6030000,0,0,0,0,0,0,0,0,1,5,1,4,15,29,11,10,0,0,1,0,2,5,0,0,2,1,6,3,16,3,5,2,2,1,1,0,7,12,6,8,5,3,3,0,2,0,0.1,1,0,-1,0,0,0,0,0,0,1,,0,0,,0,0,,,,,,,,,173,32
St Anthony,S04607,-56.0113330,51.3725000,0.1,0,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0,,0.1,0,0,0.2,0.1,0.1,0,0,0,0,1,0,6,0,2,4,1,0,3,3,1,0,1,0,0,1,2,1,0,7,2,6,0,0,4,2,0,2,0,0,1,0,0.1,1,0,1,0.1,0,0,,,,,,,,,52,21
St Modeste,S04272,-69.3913330,47.8368330,0,0,0,0,2,12,0,0,0.1,0,10,2,8,5,0,3,0,0,0,26,1,35,4,6,4,7,7,12,5,0,7,2,4,18,20,18,7,8,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,244,28
Stockholm,S04656,-68.5863330,47.2513330,,0,0,0,0,2,3,0,1,19,6,6,26,10,21,3,9,8,5,6,21,9,0,10,1,0,2,3,0,0,0,1,1,2,1,2,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,183,30
Tatamagouche,S04608,-63.3988330,45.0946670,-1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,1,0,0,0,0,7,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,,13,4
Zinc Mine Rd,S04610,-57.5555000,50.2728330,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,18,0,4,2,0,0,6,42,20,20,26,7,10,16,18,50,43,44,46,174,,7,59,37,50,99,45,109,102,84,21.1,0,0,0,0,1,0,0,0,,,,,,,1166,31
,,,,-0.7,0.3,0.6,1.7,2.6,14.5,6.5,2.7,5.5,60.2,54.2,58.2,134.1,129,127.1,123,34.3,41.3,58.2,120.1,149.2,168.1,59,132.3,82.1,193.1,244.2,235,367.1,224,162.1,179,495.3,487,280.1,187.1,175,207.1,158,210.1,90.2,134.1,101.2,82.1,83.1,257.2,8.2,28,133.2,62.1,73.1,159,82,155.1,285.5,125.3,24.4,3.3,0.1,2.1,2.3,2.1,1.3,0.1,0.1,1.7,0.1,1,0.3,0,Total,7253,61
,,,,0,0,0,1,1,2,3,2,5,9,9,14,12,16,15,14,8,9,13,16,17,20,11,18,19,18,23,21,24,20,22,19,28,21,20,23,22,18,20,22,18,20,10,9,16,7,4,9,7,7,7,7,2,3,5,4,4,2,0,2,1,2,1,0,0,1,0,1,0,0,N>0,704,61
